"scene_token","frame_token","scene_description","num_objects","num_cameras","qa_categories","num_perception_qa","num_prediction_qa","num_planning_qa","num_behavior_qa","total_qa","image_paths"
"e233467e827140efa4b42d2b4c435855","41550a1f0b0548e5823b14d95e807c7d","The ego vehicle parked at the intersection, awaiting the passage of the traffic on the right before proceeding with the right turn.","3","6","perception, prediction, planning, behavior","35","28","14","1","78","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800998362460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_LEFT__1542800998354844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_RIGHT__1542800998370339.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-11-21-19-38-26+0800__CAM_BACK__1542800998387525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-11-21-19-38-26+0800__CAM_BACK_LEFT__1542800998397423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_BACK_RIGHT__1542800998377893.jpg"
"e233467e827140efa4b42d2b4c435855","b902d29df24c4efda414a9a88ed57031","The ego vehicle parked at the intersection, awaiting the passage of the traffic on the right before proceeding with the right turn.","3","6","perception, prediction, planning, behavior","45","25","16","1","87","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800992862460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_LEFT__1542800992854844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_RIGHT__1542800992870339.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-11-21-19-38-26+0800__CAM_BACK__1542800992887525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-11-21-19-38-26+0800__CAM_BACK_LEFT__1542800992897423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_BACK_RIGHT__1542800992877893.jpg"
"e233467e827140efa4b42d2b4c435855","d7cb9aa06de1442d8e2a22d562045cb4","The ego vehicle parked at the intersection, awaiting the passage of the traffic on the right before proceeding with the right turn.","4","6","perception, prediction, planning, behavior","43","32","20","1","96","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542801005912460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_LEFT__1542801005904844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_RIGHT__1542801005920339.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-11-21-19-38-26+0800__CAM_BACK__1542801005937525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-11-21-19-38-26+0800__CAM_BACK_LEFT__1542801005947423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_BACK_RIGHT__1542801005927893.jpg"
"e233467e827140efa4b42d2b4c435855","61cfc5554a724824b0d34bddc147d890","The ego vehicle parked at the intersection, awaiting the passage of the traffic on the right before proceeding with the right turn.","5","6","perception, prediction, planning, behavior","50","34","24","1","109","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800988912460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_LEFT__1542800988904844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_RIGHT__1542800988920339.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-11-21-19-38-26+0800__CAM_BACK__1542800988937525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-11-21-19-38-26+0800__CAM_BACK_LEFT__1542800988947423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_BACK_RIGHT__1542800988927893.jpg"
"e233467e827140efa4b42d2b4c435855","93f4f8ac1145418cadcf14dfd2a9cf78","The ego vehicle parked at the intersection, awaiting the passage of the traffic on the right before proceeding with the right turn.","3","6","perception, prediction, planning, behavior","44","26","18","1","89","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542801001912460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_LEFT__1542801001904844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_FRONT_RIGHT__1542801001920344.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-11-21-19-38-26+0800__CAM_BACK__1542801001937525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-11-21-19-38-26+0800__CAM_BACK_LEFT__1542801001947423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-11-21-19-38-26+0800__CAM_BACK_RIGHT__1542801001927893.jpg"
"cc8c0bf57f984915a77078b10eb33198","4711bcd34644420da8bc77163431888e","The ego vehicle makes a left turn at the traffic lights, and after encountering the construction section on the right side, it turns left at the first fork on the left side.","4","6","perception, prediction, planning, behavior","59","29","18","1","107","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402939112460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_LEFT__1532402939104844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_RIGHT__1532402939120339.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-07-24-11-22-45+0800__CAM_BACK__1532402939137525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-07-24-11-22-45+0800__CAM_BACK_LEFT__1532402939147423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_BACK_RIGHT__1532402939127893.jpg"
"cc8c0bf57f984915a77078b10eb33198","1e3d79dae62742a0ad64c91679863358","The ego vehicle makes a left turn at the traffic lights, and after encountering the construction section on the right side, it turns left at the first fork on the left side.","3","6","perception, prediction, planning, behavior","69","28","17","1","115","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402934112460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_LEFT__1532402934104844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_RIGHT__1532402934120339.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-07-24-11-22-45+0800__CAM_BACK__1532402934137525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-07-24-11-22-45+0800__CAM_BACK_LEFT__1532402934147423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_BACK_RIGHT__1532402934127893.jpg"
"cc8c0bf57f984915a77078b10eb33198","aa581aac963a4fad848ac11fe66e8637","The ego vehicle makes a left turn at the traffic lights, and after encountering the construction section on the right side, it turns left at the first fork on the left side.","4","6","perception, prediction, planning, behavior","48","29","19","1","97","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402945162460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_LEFT__1532402945154844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_RIGHT__1532402945170339.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-07-24-11-22-45+0800__CAM_BACK__1532402945187525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-07-24-11-22-45+0800__CAM_BACK_LEFT__1532402945197423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_BACK_RIGHT__1532402945177893.jpg"
"cc8c0bf57f984915a77078b10eb33198","4246e57f018745c9b2bc68feb3d71b58","The ego vehicle makes a left turn at the traffic lights, and after encountering the construction section on the right side, it turns left at the first fork on the left side.","4","6","perception, prediction, planning, behavior","64","31","18","1","114","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402940762460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_LEFT__1532402940754844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_RIGHT__1532402940770339.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-07-24-11-22-45+0800__CAM_BACK__1532402940787525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-07-24-11-22-45+0800__CAM_BACK_LEFT__1532402940797423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_BACK_RIGHT__1532402940777893.jpg"
"cc8c0bf57f984915a77078b10eb33198","378a3a3e9af346308ab9dff8ced46d9c","The ego vehicle makes a left turn at the traffic lights, and after encountering the construction section on the right side, it turns left at the first fork on the left side.","5","6","perception, prediction, planning, behavior","64","34","24","1","123","CAM_FRONT:../nuscenes/samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402942162460.jpg | CAM_FRONT_LEFT:../nuscenes/samples/CAM_FRONT_LEFT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_LEFT__1532402942154844.jpg | CAM_FRONT_RIGHT:../nuscenes/samples/CAM_FRONT_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_FRONT_RIGHT__1532402942170339.jpg | CAM_BACK:../nuscenes/samples/CAM_BACK/n015-2018-07-24-11-22-45+0800__CAM_BACK__1532402942187525.jpg | CAM_BACK_LEFT:../nuscenes/samples/CAM_BACK_LEFT/n015-2018-07-24-11-22-45+0800__CAM_BACK_LEFT__1532402942197423.jpg | CAM_BACK_RIGHT:../nuscenes/samples/CAM_BACK_RIGHT/n015-2018-07-24-11-22-45+0800__CAM_BACK_RIGHT__1532402942177893.jpg"
