"scene_token","scene_description","num_key_frames"
"e233467e827140efa4b42d2b4c435855","The ego vehicle parked at the intersection, awaiting the passage of the traffic on the right before proceeding with the right turn.","5"
"2fc3753772e241f2ab2cd16a784cc680","The ego vehicle progresses along the current road, halting at the intersection of traffic lights, awaiting its turn.","8"
"bebf5f5b2a674631ab5c88fd1aa9e87a","The ego vehicle proceeds forward along the current road, continuing straight after passing several intersections on the right side.","5"
"de7d80a1f5fb4c3e82ce8a4f213b450a","After the ego vehicle made a left turn at the intersection with the traffic lights, it proceeded straight while remaining in the left lane.","8"
"d25718445d89453381c659b9c8734939","The ego vehicle continues straight along the current road after making a left turn.","4"
"cc8c0bf57f984915a77078b10eb33198","The ego vehicle makes a left turn at the traffic lights, and after encountering the construction section on the right side, it turns left at the first fork on the left side.","8"
"0053e9c440a94c1b84bd9c4223efc4b0","The ego vehicle halted at the intersection with traffic lights, awaiting the passage of preceding vehicles before veering to the right and resuming its journey. During the right turn, it is imperative to exercise caution and yield to pedestrians on both sides.","8"
"00590cbfa24a430a8c274b51e1c71231","The ego vehicle proceeded straight after making a left turn at the current intersection, and is about to make a right turn.","4"
"010fb5bcc7984d0f8f07f99e02366df1","The ego vehicle traverses along the current roadway, encountering construction on both the left and right sides.","8"
"01796494e25c448dadaba70cfcc3532d","The ego vehicle is traveling along the current road and is about to pass through the traffic light intersection.","8"
"019b370afb444a2e8ce85654898307c8","The ego vehicle travels along the current road and stops at the intersection ahead, waiting.","4"
"01c3f5e39956402da3e37845632fadca","The ego vehicle proceeds along the current road, continuously traversing several intersections before continuing straight ahead.","5"
"01c8c59260db4a3682d7b4f8da65425e","The ego vehicle travels along the current road, passing through multiple intersections, and is about to enter the left lane.","6"
"0287702725184161af95373198546a59","The ego vehicle halted at the intersection, awaiting the illumination of the green light.","6"
"02e484442a2f411b971edcf96ebbe885","After the ego vehicle initiates motion, it proceeds through the intersection regulated by traffic lights, continuing its forward trajectory.","8"
